,age,female,wealth,religiosity,ethsalience,rcblack,rcwhite,rccol,EDUC,RUSTAND,TRCKNOW,w
0,20.0,0.0,15800.0,5.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,2.1686794871009014
1,28.0,0.0,800.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,2.24338694250336
2,39.0,0.0,1000.0,4.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,2.308696074426039
3,24.0,0.0,900.0,5.0,2.0,1.0,0.0,0.0,4.0,2.0,1.0,2.304395070449749
4,37.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,3.7391246976004484
5,31.0,0.0,1200.0,5.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,2.216156993233664
6,25.0,0.0,800.0,4.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,1.366452602451077
7,37.0,0.0,800.0,6.0,3.0,1.0,0.0,0.0,3.0,4.0,0.0,1.5574425382291097
8,33.0,0.0,920.0,5.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,1.8172786067539541
9,28.0,0.0,1000.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,1.808182662307701
10,50.0,0.0,820.0,6.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,2.20517254743485
11,33.0,0.0,800.0,2.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,1.5320443846023153
12,26.0,0.0,1000.0,5.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,2.2243633332349355
13,32.0,0.0,400.0,4.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,2.2537013462516593
14,48.0,1.0,900.0,4.0,2.0,1.0,0.0,0.0,2.0,4.0,0.0,1.514337616387434
15,35.0,1.0,800.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,1.8800323203004785
16,19.0,1.0,800.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,2.1817735151549074
17,26.0,1.0,900.0,5.0,3.0,1.0,0.0,0.0,6.0,4.0,0.0,3.633382964694429
18,31.0,1.0,800.0,1.0,2.0,1.0,0.0,0.0,3.0,4.0,0.0,1.7297836411230862
19,33.0,1.0,900.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,2.1908189189285143
20,30.0,1.0,16100.0,5.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,1.849920624650942
21,35.0,1.0,400.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,1.849418893523381
22,22.0,1.0,400.0,5.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,1.8439416357567124
23,50.0,1.0,16420.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,2.748923159782361
24,19.0,1.0,920.0,5.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,2.1986871344349335
25,31.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,1.339157411854568
26,46.0,0.0,820.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,2.3766804926310288
27,22.0,1.0,400.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,1.0,1.5896199898929446
28,37.0,0.0,700.0,6.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,1.775299851107145
29,44.0,0.0,700.0,5.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,1.8162315320583826
30,55.0,0.0,720.0,5.0,3.0,1.0,0.0,0.0,3.0,4.0,0.0,1.553795104401371
31,31.0,0.0,16200.0,5.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,1.843921911870465
32,29.0,0.0,1000.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,1.8084822653770374
33,28.0,0.0,800.0,2.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,1.7863022404662032
34,34.0,0.0,100.0,5.0,3.0,1.0,0.0,0.0,3.0,4.0,0.0,1.5412646921962034
35,33.0,1.0,100.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,2.167837452558443
36,41.0,1.0,800.0,0.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,1.8780774259146769
37,32.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,1.7899038750530678
38,19.0,1.0,800.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,1.865505698940924
39,30.0,1.0,400.0,5.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,1.8414429310892912
40,29.0,1.0,820.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,1.8426446744448692
41,31.0,1.0,100.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,2.0503477557817327
42,38.0,1.0,700.0,2.0,3.0,1.0,0.0,0.0,3.0,4.0,1.0,2.275604197819633
43,39.0,0.0,900.0,5.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,2.297163211507589
44,25.0,0.0,300.0,6.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,1.7643748984329721
45,22.0,0.0,100.0,5.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,3.0929549711649793
46,36.0,0.0,920.0,6.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,2.3629591330478954
47,38.0,0.0,800.0,5.0,3.0,1.0,0.0,0.0,3.0,2.0,1.0,2.813597955064204
48,22.0,0.0,500.0,5.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,2.2412057184906375
49,40.0,0.0,700.0,5.0,2.0,1.0,0.0,0.0,4.0,4.0,1.0,2.303015214128914
50,44.0,0.0,700.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,1.8070701330310757
51,59.0,0.0,800.0,5.0,3.0,1.0,0.0,0.0,3.0,4.0,1.0,2.7995365900303644
52,24.0,0.0,1100.0,3.0,3.0,1.0,0.0,0.0,6.0,3.0,1.0,1.5702765823110052
53,42.0,1.0,15820.0,5.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,1.5753901472991703
54,22.0,0.0,800.0,4.0,3.0,1.0,0.0,0.0,6.0,1.0,1.0,1.5684328004671266
55,25.0,1.0,100.0,5.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,2.257331357514122
56,27.0,1.0,720.0,6.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,1.8264567829517935
57,27.0,1.0,400.0,6.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,1.8329241976051576
58,66.0,0.0,820.0,6.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,2.1980466700597154
59,70.0,1.0,820.0,5.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,2.21503608456076
60,21.0,0.0,700.0,2.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,1.7823567225426025
61,32.0,1.0,500.0,3.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,1.8579243577616447
62,69.0,0.0,820.0,5.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.558033903344585
63,32.0,0.0,800.0,5.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,2.2276097710715974
64,28.0,0.0,700.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,2.246419452088702
65,32.0,1.0,820.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,1.7669791613774692
66,28.0,1.0,400.0,1.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,1.8809575302906563
67,28.0,1.0,820.0,5.0,3.0,1.0,0.0,0.0,6.0,1.0,0.0,3.6302051625153244
68,41.0,1.0,16220.0,5.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,1.5700221421867633
69,34.0,1.0,1220.0,2.0,3.0,1.0,0.0,0.0,6.0,1.0,1.0,1.3886146578233372
70,19.0,0.0,1320.0,5.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,2.293512840149256
71,35.0,0.0,800.0,5.0,3.0,1.0,0.0,0.0,6.0,3.0,1.0,1.5593510389489589
72,30.0,1.0,800.0,5.0,3.0,1.0,0.0,0.0,6.0,1.0,1.0,1.3801018825577531
73,21.0,0.0,1100.0,5.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,1.8172270984089531
74,42.0,0.0,920.0,4.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,1.7634801896847556
75,61.0,0.0,1320.0,6.0,3.0,1.0,0.0,0.0,4.0,2.0,1.0,2.185738712059681
76,26.0,0.0,100.0,5.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.5081629175862417
77,22.0,0.0,900.0,5.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,1.813556830348956
78,62.0,0.0,400.0,5.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,3.854137635165701
79,52.0,1.0,800.0,4.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.807978338814648
80,19.0,1.0,800.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,1.8461858276362875
81,40.0,1.0,15920.0,5.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,1.5744158855329982
82,38.0,1.0,800.0,5.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,1.830816773307453
83,20.0,1.0,1320.0,5.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,2.210872666601221
84,31.0,0.0,800.0,3.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,2.2561036843284774
85,30.0,0.0,400.0,5.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,2.4858360129151897
86,32.0,0.0,300.0,5.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,1.8047298003784766
87,36.0,1.0,0.0,6.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,1.838278692228424
88,70.0,1.0,400.0,5.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,3.691072541095992
89,37.0,0.0,300.0,5.0,3.0,1.0,0.0,0.0,3.0,4.0,0.0,1.5445132283479908
90,21.0,1.0,300.0,2.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,2.075581798813837
91,37.0,0.0,300.0,2.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,2.2830729547204154
92,71.0,0.0,1120.0,5.0,3.0,1.0,0.0,0.0,3.0,4.0,0.0,1.562543705541675
93,56.0,1.0,800.0,6.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,2.2831316138536644
94,52.0,0.0,700.0,4.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.5467043527195923
95,19.0,1.0,15720.0,6.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,2.73851916617234
96,53.0,1.0,0.0,5.0,3.0,1.0,0.0,0.0,3.0,2.0,1.0,2.24738508907466
97,22.0,0.0,100.0,4.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,1.788900945365691
98,46.0,1.0,16000.0,3.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,2.70915526225349
99,65.0,1.0,800.0,0.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,2.1490275153895055
100,19.0,0.0,400.0,5.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,2.2456171777828415
101,25.0,0.0,800.0,5.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,1.812480384803271
